Gender,Age Range,Head_Size,Brain_Weight
Male,18 years and above,4512,1530
Male,18 years and above,3738,1297
Male,18 years and above,4261,1335
Male,18 years and above,3777,1282
Male,18 years and above,4177,1590
Male,18 years and above,3585,1300
Male,18 years and above,3785,1400
Male,18 years and above,3559,1255
Male,18 years and above,3613,1355
Male,18 years and above,3982,1375
Male,18 years and above,3443,1340
Male,18 years and above,3993,1380
Male,18 years and above,3640,1355
Male,18 years and above,4208,1522
Male,18 years and above,3832,1208
Male,18 years and above,3876,1405
Male,18 years and above,3497,1358
Male,18 years and above,3466,1292
Male,18 years and above,3095,1340
Male,18 years and above,4424,1400
Male,18 years and above,3878,1357
Male,18 years and above,4046,1287
Male,18 years and above,3804,1275
Male,18 years and above,3710,1270
Male,18 years and above,4747,1635
Male,18 years and above,4423,1505
Male,18 years and above,4036,1490
Male,18 years and above,4022,1485
Male,18 years and above,3454,1310
Male,18 years and above,4175,1420
Male,18 years and above,3787,1318
Male,18 years and above,3796,1432
Male,18 years and above,4103,1364
Male,18 years and above,4161,1405
Male,18 years and above,4158,1432
Male,18 years and above,3814,1207
Male,18 years and above,3527,1375
Male,18 years and above,3748,1350
Male,18 years and above,3334,1236
Male,18 years and above,3492,1250
Male,18 years and above,3962,1350
Male,18 years and above,3505,1320
Male,18 years and above,4315,1525
Male,18 years and above,3804,1570
Male,18 years and above,3863,1340
Male,18 years and above,4034,1422
Male,18 years and above,4308,1506
Male,18 years and above,3165,1215
Male,18 years and above,3641,1311
Male,18 years and above,3644,1300
Male,18 years and above,3891,1224
Male,18 years and above,3793,1350
Male,18 years and above,4270,1335
Male,18 years and above,4063,1390
Male,18 years and above,4012,1400
Male,18 years and above,3458,1225
Male,18 years and above,3890,1310
Male,0 to 18 years,4166,1560
Male,0 to 18 years,3935,1330
Male,0 to 18 years,3669,1222
Male,0 to 18 years,3866,1415
Male,0 to 18 years,3393,1175
Male,0 to 18 years,4442,1330
Male,0 to 18 years,4253,1485
Male,0 to 18 years,3727,1470
Male,0 to 18 years,3329,1135
Male,0 to 18 years,3415,1310
Male,0 to 18 years,3372,1154
Male,0 to 18 years,4430,1510
Male,0 to 18 years,4381,1415
Male,0 to 18 years,4008,1468
Male,0 to 18 years,3858,1390
Male,0 to 18 years,4121,1380
Male,0 to 18 years,4057,1432
Male,0 to 18 years,3824,1240
Male,0 to 18 years,3394,1195
Male,0 to 18 years,3558,1225
Male,0 to 18 years,3362,1188
Male,0 to 18 years,3930,1252
Male,0 to 18 years,3835,1315
Male,0 to 18 years,3830,1245
Male,0 to 18 years,3856,1430
Male,0 to 18 years,3249,1279
Male,0 to 18 years,3577,1245
Male,0 to 18 years,3933,1309
Male,0 to 18 years,3850,1412
Male,0 to 18 years,3309,1120
Male,0 to 18 years,3406,1220
Male,0 to 18 years,3506,1280
Male,0 to 18 years,3907,1440
Male,0 to 18 years,4160,1370
Male,0 to 18 years,3318,1192
Male,0 to 18 years,3662,1230
Male,0 to 18 years,3899,1346
Male,0 to 18 years,3700,1290
Male,0 to 18 years,3779,1165
Male,0 to 18 years,3473,1240
Male,0 to 18 years,3490,1132
Male,0 to 18 years,3654,1242
Male,0 to 18 years,3478,1270
Male,0 to 18 years,3495,1218
Male,0 to 18 years,3834,1430
Male,0 to 18 years,3876,1588
Male,0 to 18 years,3661,1320
Male,0 to 18 years,3618,1290
Male,0 to 18 years,3648,1260
Male,0 to 18 years,4032,1425
Male,0 to 18 years,3399,1226
Male,0 to 18 years,3916,1360
Male,0 to 18 years,4430,1620
Male,0 to 18 years,3695,1310
Male,0 to 18 years,3524,1250
Male,0 to 18 years,3571,1295
Male,0 to 18 years,3594,1290
Male,0 to 18 years,3383,1290
Male,0 to 18 years,3499,1275
Male,0 to 18 years,3589,1250
Male,0 to 18 years,3900,1270
Male,0 to 18 years,4114,1362
Male,0 to 18 years,3937,1300
Male,0 to 18 years,3399,1173
Male,0 to 18 years,4200,1256
Male,0 to 18 years,4488,1440
Male,0 to 18 years,3614,1180
Male,0 to 18 years,4051,1306
Male,0 to 18 years,3782,1350
Male,0 to 18 years,3391,1125
Male,0 to 18 years,3124,1165
Male,0 to 18 years,4053,1312
Male,0 to 18 years,3582,1300
Male,0 to 18 years,3666,1270
Male,0 to 18 years,3532,1335
Male,0 to 18 years,4046,1450
Male,0 to 18 years,3667,1310
Female,18 years and above,2857,1027
Female,18 years and above,3436,1235
Female,18 years and above,3791,1260
Female,18 years and above,3302,1165
Female,18 years and above,3104,1080
Female,18 years and above,3171,1127
Female,18 years and above,3572,1270
Female,18 years and above,3530,1252
Female,18 years and above,3175,1200
Female,18 years and above,3438,1290
